Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.116330426
Cambodia,KHM,"Air transport, passengers carried",IS.AIR.PSGR,1429503.73
Cambodia,KHM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.68860716
Cambodia,KHM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.1120864
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.132442162
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.370691707
Cameroon,CMR,"Air transport, passengers carried",IS.AIR.PSGR,83882
Cameroon,CMR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.031566
Cameroon,CMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,64.47088106
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.774879781
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.05274694
Canada,CAN,"Air transport, passengers carried",IS.AIR.PSGR,93352000
Canada,CAN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,3109.043058
Canada,CAN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.100156005
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.436136823
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Cayman Islands,CYM,"Air transport, passengers carried",IS.AIR.PSGR,..
Cayman Islands,CYM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Cayman Islands,CYM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,1.908192659
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.045188205
Central African Republic,CAF,"Air transport, passengers carried",IS.AIR.PSGR,..
Central African Republic,CAF,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Central African Republic,CAF,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,46.3767539
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,2.223361071
Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.098196389
Chad,TCD,"Air transport, passengers carried",IS.AIR.PSGR,..
Chad,TCD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Chad,TCD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,59.2825236
Chad,TCD,Population growth (annual %),SP.POP.GROW,3.294582728
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Channel Islands,CHI,"Air transport, passengers carried",IS.AIR.PSGR,..
Channel Islands,CHI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Channel Islands,CHI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1.277830313
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.827620075
Chile,CHL,"Air transport, passengers carried",IS.AIR.PSGR,21197759
Chile,CHL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1232.41109
Chile,CHL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.76585719
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.791391972
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.645435786
China,CHN,"Air transport, passengers carried",IS.AIR.PSGR,659629070
China,CHN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,25394.5878
China,CHN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,47.67263439
China,CHN,Population growth (annual %),SP.POP.GROW,0.35474089
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.577820141
Colombia,COL,"Air transport, passengers carried",IS.AIR.PSGR,37031843
Colombia,COL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1547.674684
Colombia,COL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.01072747
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.830746942
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.41239668
Comoros,COM,"Air transport, passengers carried",IS.AIR.PSGR,..
Comoros,COM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Comoros,COM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.15567571
Comoros,COM,Population growth (annual %),SP.POP.GROW,1.872447912
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.03371488
"Congo, Dem. Rep.",COD,"Air transport, passengers carried",IS.AIR.PSGR,550457.8926
"Congo, Dem. Rep.",COD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.7512
"Congo, Dem. Rep.",COD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,35.86088793
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.186288389
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.257662142
"Congo, Rep.",COG,"Air transport, passengers carried",IS.AIR.PSGR,541787.1369
"Congo, Rep.",COG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,4.151108743
"Congo, Rep.",COG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,39.30341272
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.355238072
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.564824452
Costa Rica,CRI,"Air transport, passengers carried",IS.AIR.PSGR,2033146
Costa Rica,CRI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,10.8
Costa Rica,CRI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.42174135
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,0.865128347
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.414528305
Cote d'Ivoire,CIV,"Air transport, passengers carried",IS.AIR.PSGR,748540
Cote d'Ivoire,CIV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,9.166862
Cote d'Ivoire,CIV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,55.62337378
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.531287446
Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.064519478
Croatia,HRV,"Air transport, passengers carried",IS.AIR.PSGR,2108591
Croatia,HRV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.4406
Croatia,HRV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.46495986
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.554146739
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.157740903
Cuba,CUB,"Air transport, passengers carried",IS.AIR.PSGR,457130
Cuba,CUB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,13.708525
Cuba,CUB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.72659724
Cuba,CUB,Population growth (annual %),SP.POP.GROW,-0.101983052
Curacao,CUW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Curacao,CUW,"Air transport, passengers carried",IS.AIR.PSGR,..
Curacao,CUW,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Curacao,CUW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Curacao,CUW,Population growth (annual %),SP.POP.GROW,-1.196439518
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.851879339
Cyprus,CYP,"Air transport, passengers carried",IS.AIR.PSGR,395436
Cyprus,CYP,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.14
Cyprus,CYP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,15.57380293
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.81751772
Czechia,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.156117906
Czechia,CZE,"Air transport, passengers carried",IS.AIR.PSGR,5446163.2
Czechia,CZE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,22.73254
Czechia,CZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.75140093
Czechia,CZE,Population growth (annual %),SP.POP.GROW,0.393788864
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.107386426
Denmark,DNK,"Air transport, passengers carried",IS.AIR.PSGR,..
Denmark,DNK,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Denmark,DNK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.785959755
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.358130916
Djibouti,DJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.398763866
Djibouti,DJI,"Air transport, passengers carried",IS.AIR.PSGR,..
Djibouti,DJI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Djibouti,DJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,43.16577438
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,1.576239752
Dominica,DMA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.437419499
Dominica,DMA,"Air transport, passengers carried",IS.AIR.PSGR,..
Dominica,DMA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Dominica,DMA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.60844325
Dominica,DMA,Population growth (annual %),SP.POP.GROW,0.850614263
Dominican Republic,DOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.368634396
Dominican Republic,DOM,"Air transport, passengers carried",IS.AIR.PSGR,113752
Dominican Republic,DOM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Dominican Republic,DOM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.72938154
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,1.074974829
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.285055011
Ecuador,ECU,"Air transport, passengers carried",IS.AIR.PSGR,4827978
Ecuador,ECU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,50.80511
Ecuador,ECU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.97447395
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,1.909683263
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.063160783
"Egypt, Arab Rep.",EGY,"Air transport, passengers carried",IS.AIR.PSGR,13206889.61
"Egypt, Arab Rep.",EGY,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,483.4138791
"Egypt, Arab Rep.",EGY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,67.88817813
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,1.794002125
El Salvador,SLV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.25994054
El Salvador,SLV,"Air transport, passengers carried",IS.AIR.PSGR,2609917
El Salvador,SLV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,13.107
